id,text,cluster,category
190,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",0,Food Quality
191,you can watch them preparing the delicious food!),8,Food Quality
192,Both of the egg rolls were fantastic.,0,Food Quality
193,"When my order arrived, one of the gyros was missing.",3,Service Experience
194,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",0,Overall Satisfaction
195,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,1,Food Quality
196,The best place to go for a tasty bowl of Pho!,8,Overall Satisfaction
197,The live music on Fridays totally blows.,1,Ambience and Atmosphere
198,I've never been more insulted or felt disrespected.,7,Service Experience
199,Very friendly staff.,7,Service Experience
200,It is worth the drive.,1,Value for Money
201,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",6,Overall Satisfaction
202,Food was great and so was the serivce!,0,Food Quality
203,The warm beer didn't help.,3,Value for Money
204,Great brunch spot.,2,Ambience and Atmosphere
205,Service is friendly and inviting.,9,Service Experience
206,Very good lunch spot.,5,Ambience and Atmosphere
207,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,6,Overall Satisfaction
208,The WORST EXPERIENCE EVER.,1,Overall Satisfaction
209,Must have been an off night at this place.,3,Overall Satisfaction
210,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",8,Food Quality
211,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",1,Service Experience
212,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",3,Service Experience
213,My friend loved the salmon tartar.,0,Food Quality
214,Won't go back.,4,Overall Satisfaction
215,Extremely Tasty!,8,Food Quality
216,Waitress was good though!,7,Service Experience
217,Soggy and not good.,0,Food Quality
218,The Jamaican mojitos are delicious.,8,Food Quality
219,Which are small and not worth the price.,2,Value for Money
220,- the food is rich so order accordingly.,8,Food Quality
221,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",2,Ambience and Atmosphere
222,The service was a bit lacking.,9,Service Experience
223,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",8,Food Quality
224,Hopefully this bodes for them going out of business and someone who can cook can come in.,8,Food Quality
225,"It was either too cold, not enough flavor or just bad.",0,Food Quality
226,I loved the bacon wrapped dates.,0,Food Quality
227,This is an unbelievable BARGAIN!,1,Value for Money
228,The folks at Otto always make us feel so welcome and special.,7,Service Experience
229,"As for the ""mains,"" also uninspired.",1,Food Quality
230,This is the place where I first had pho and it was amazing!!,6,Overall Satisfaction
231,This wonderful experience made this place a must-stop whenever we are in town again.,6,Overall Satisfaction
232,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",8,Ambience and Atmosphere
233,Very very fun chef.,5,Service Experience
234,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,Food Quality
235,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,2,Ambience and Atmosphere
236,"If it were possible to give them zero stars, they'd have it.",1,Overall Satisfaction
237,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,Food Quality
238,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",8,Food Quality
239,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,4,Service Experience
240,"Everyone is very attentive, providing excellent customer service.",9,Service Experience
241,Horrible - don't waste your time and money.,1,Overall Satisfaction
242,Now this dish was quite flavourful.,0,Food Quality
243,By this time our side of the restaurant was almost empty so there was no excuse.,3,Ambience and Atmosphere
244,"(It wasn't busy either) Also, the building was FREEZING cold.",3,Ambience and Atmosphere
245,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",3,Overall Satisfaction
246,-Drinks took close to 30 minutes to come out at one point.,3,Service Experience
247,"Seriously flavorful delights, folks.",8,Food Quality
248,Much better than the other AYCE sushi place I went to in Vegas.,5,Overall Satisfaction
249,The lighting is just dark enough to set the mood.,2,Ambience and Atmosphere
250,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,9,Service Experience
251,Owner's are really great people.!,6,Service Experience
252,There is nothing privileged about working/eating there.,8,Overall Satisfaction
253,The Greek dressing was very creamy and flavorful.,0,Food Quality
254,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",6,Overall Satisfaction
255,Now the pizza itself was good the peanut sauce was very tasty.,0,Food Quality
256,We had 7 at our table and the service was pretty fast.,9,Service Experience
257,Fantastic service here.,9,Service Experience
258,I as well would've given godfathers zero stars if possible.,1,Overall Satisfaction
259,They know how to make them here.,6,Service Experience
260,very tough and very short on flavor!,8,Food Quality
261,I hope this place sticks around.,6,Overall Satisfaction
262,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",3,Value for Money
263,The restaurant atmosphere was exquisite.,5,Ambience and Atmosphere
264,"Good service, very clean, and inexpensive, to boot!",9,Overall Satisfaction
265,The seafood was fresh and generous in portion.,0,Food Quality
266,"Plus, it's only 8 bucks.",1,Value for Money
267,"The service was not up to par, either.",9,Service Experience
268,"Thus far, have only visited twice and the food was absolutely delicious each time.",5,Food Quality
269,Just as good as when I had it more than a year ago!,1,Food Quality
270,"For a self proclaimed coffee cafe, I was wildly disappointed.",1,Overall Satisfaction
271,The Veggitarian platter is out of this world!,8,Food Quality
272,You cant go wrong with any of the food here.,8,Food Quality
273,You can't beat that.,1,Value for Money
274,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",7,Service Experience
275,The chefs were friendly and did a good job.,7,Service Experience
276,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",8,Food Quality
277,I liked the patio and the service was outstanding.,9,Service Experience
278,The goat taco didn't skimp on the meat and wow what FLAVOR!,0,Food Quality
279,I think not again,4,Overall Satisfaction
280,I had the mac salad and it was pretty bland so I will not be getting that again.,0,Food Quality
281,I went to Bachi Burger on a friend's recommendation and was not disappointed.,5,Overall Satisfaction
282,Service stinks here!,9,Service Experience
283,I waited and waited.,3,Service Experience
284,"This place is not quality sushi, it is not a quality restaurant.",8,Food Quality
285,I would definitely recommend the wings as well as the pizza.,5,Food Quality
286,Great Pizza and Salads!,5,Food Quality
287,Things that went wrong: - They burned the saganaki.,1,Food Quality
288,We waited an hour for what was a breakfast I could have done 100 times better at home.,3,Food Quality
289,This place is amazing!,6,Overall Satisfaction
290,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",6,Overall Satisfaction
291,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,3,Service Experience
292,Just don't know why they were so slow.,3,Service Experience
293,"The staff is great, the food is delish, and they have an incredible beer selection.",5,Overall Satisfaction
294,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",6,Overall Satisfaction
295,I didn't know pulled pork could be soooo delicious.,8,Food Quality
296,"You get incredibly fresh fish, prepared with care.",8,Food Quality
297,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,8,Overall Satisfaction
298,I love the fact that everything on their menu is worth it.,5,Value for Money
299,Never again will I be dining at this place!,5,Overall Satisfaction
300,The food was excellent and service was very good.,5,Overall Satisfaction
301,Good beer & drink selection and good food selection.,2,Food Quality
302,Please stay away from the shrimp stir fried noodles.,8,Food Quality
303,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,Food Quality
304,Food was really boring.,0,Food Quality
305,Good Service-check!,9,Service Experience
306,This greedy corporation will NEVER see another dime from me!,1,Overall Satisfaction
307,"Will never, ever go back.",4,Overall Satisfaction
308,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",4,Service Experience
309,"In the summer, you can dine in a charming outdoor patio - so very delightful.",2,Ambience and Atmosphere
310,I did not expect this to be so good!,1,Overall Satisfaction
311,Fantastic food!,5,Food Quality
312,She ordered a toasted English muffin that came out untoasted.,0,Food Quality
313,The food was very good.,0,Food Quality
314,Never going back.,4,Overall Satisfaction
315,"Great food for the price, which is very high quality and house made.",5,Value for Money
316,The bus boy on the other hand was so rude.,7,Service Experience
317,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",6,Overall Satisfaction
318,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",2,Food Quality
319,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,Value for Money
320,All the bread is made in-house!,8,Food Quality
321,The only downside is the service.,9,Service Experience
322,"Also, the fries are without a doubt the worst fries I've ever had.",8,Food Quality
323,Service was exceptional and food was a good as all the reviews.,9,Service Experience
324,"A couple of months later, I returned and had an amazing meal.",3,Overall Satisfaction
325,Favorite place in town for shawarrrrrrma!!!!!!,6,Overall Satisfaction
326,The black eyed peas and sweet potatoes... UNREAL!,8,Food Quality
327,You won't be disappointed.,1,Overall Satisfaction
328,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",8,Food Quality
329,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",8,Value for Money
330,When my mom and I got home she immediately got sick and she only had a few bites of salad.,3,Food Quality
331,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,9,Service Experience
332,"Both of them were truly unbelievably good, and I am so glad we went back.",1,Overall Satisfaction
333,"We had fantastic service, and were pleased by the atmosphere.",9,Ambience and Atmosphere
334,Everything was gross.,0,Food Quality
335,I love this place.,6,Overall Satisfaction
336,Great service and food.,9,Overall Satisfaction
337,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,3,Ambience and Atmosphere
338,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,Food Quality
339,"OMG, the food was delicioso!",0,Food Quality
340,There is nothing authentic about this place.,6,Overall Satisfaction
341,the spaghetti is nothing special whatsoever.,8,Food Quality
342,"Of all the dishes, the salmon was the best, but all were great.",0,Food Quality
343,The vegetables are so fresh and the sauce feels like authentic Thai.,8,Food Quality
344,It's worth driving up from Tucson!,6,Overall Satisfaction
345,The selection was probably the worst I've seen in Vegas.....there was none.,1,Food Quality
346,Pretty good beer selection too.,2,Ambience and Atmosphere
347,"This place is like Chipotle, but BETTER.",8,Food Quality
348,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",2,Ambience and Atmosphere
349,5 stars for the brick oven bread app!,8,Food Quality
350,"I have eaten here multiple times, and each time the food was delicious.",8,Food Quality
351,We sat another ten minutes and finally gave up and left.,3,Service Experience
352,He was terrible!,1,Service Experience
353,Everyone is treated equally special.,7,Service Experience
354,It shouldn't take 30 min for pancakes and eggs.,3,Service Experience
355,It was delicious!!!,0,Food Quality
356,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",7,Service Experience
357,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",5,Overall Satisfaction
358,As always the evening was wonderful and the food delicious!,5,Overall Satisfaction
359,Best fish I've ever had in my life!,8,Food Quality
360,(The bathroom is just next door and very nice.),2,Ambience and Atmosphere
361,The buffet is small and all the food they offered was BLAND.,0,Food Quality
362,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,5,Food Quality
363,Pretty cool I would say.,1,Overall Satisfaction
364,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,1,Overall Satisfaction
365,Server did a great job handling our large rowdy table.,9,Service Experience
366,"I find wasting food to be despicable, but this just wasn't food.",0,Food Quality
367,My wife had the Lobster Bisque soup which was lukewarm.,0,Food Quality
368,Would come back again if I had a sushi craving while in Vegas.,8,Overall Satisfaction
369,"The staff are great, the ambiance is great.",7,Ambience and Atmosphere
370,He deserves 5 stars.,1,Overall Satisfaction
371,I left with a stomach ache and felt sick the rest of the day.,3,Food Quality
372,They dropped more than the ball.,1,Overall Satisfaction
373,"The dining space is tiny, but elegantly decorated and comfortable.",2,Ambience and Atmosphere
374,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",8,Food Quality
375,And the beans and rice were mediocre at best.,0,Food Quality
376,Best tacos in town by far!!,5,Food Quality
377,I took back my money and got outta there.,4,Overall Satisfaction
378,"In an interesting part of town, this place is amazing.",6,Ambience and Atmosphere
379,RUDE & INCONSIDERATE MANAGEMENT.,7,Service Experience
380,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",7,Service Experience
381,I won't be back.,4,Overall Satisfaction
382,They have great dinners.,5,Food Quality
383,The service was outshining & I definitely recommend the Halibut.,9,Service Experience
384,The food was terrible.,0,Food Quality
385,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,4,Overall Satisfaction
386,I don't recommend unless your car breaks down in front of it and you are starving.,8,Overall Satisfaction
387,I will come back here every time I'm in Vegas.,4,Overall Satisfaction
388,This place deserves one star and 90% has to do with the food.,8,Food Quality
389,This is a disgrace.,1,Overall Satisfaction
390,Def coming back to bowl next time,4,Overall Satisfaction
391,"If you want healthy authentic or ethic food, try this place.",5,Food Quality
392,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,6,Overall Satisfaction
393,"I have been here several times in the past, and the experience has always been great.",6,Overall Satisfaction
394,We walked away stuffed and happy about our first Vegas buffet experience.,3,Value for Money
395,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,9,Service Experience
396,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",0,Food Quality
397,I'm probably one of the few people to ever go to Ians and not like it.,6,Overall Satisfaction
398,Kids pizza is always a hit too with lots of great side dish options for the kiddos!,8,Food Quality
399,Service is perfect and the family atmosphere is nice to see.,9,Service Experience
400,Cooked to perfection and the service was impeccable.,9,Service Experience
401,This one is simply a disappointment.,1,Overall Satisfaction
402,"Overall, I was very disappointed with the quality of food at Bouchon.",0,Food Quality
403,I don't have to be an accountant to know I'm getting screwed!,1,Value for Money
404,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",5,Ambience and Atmosphere
405,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,0,Food Quality
406,Left very frustrated.,1,Overall Satisfaction
407,I'll definitely be in soon again.,4,Overall Satisfaction
408,Food was really good and I got full petty fast.,3,Food Quality
409,Service was fantastic.,9,Service Experience
410,TOTAL WASTE OF TIME.,1,Overall Satisfaction
411,I don't know what kind it is but they have the best iced tea.,8,Food Quality
412,"Come hungry, leave happy and stuffed!",8,Overall Satisfaction
413,"For service, I give them no stars.",9,Service Experience
414,I can assure you that you won't be disappointed.,1,Overall Satisfaction
415,I can take a little bad service but the food sucks.,9,Food Quality
416,Gave up trying to eat any of the crust (teeth still sore).,0,Food Quality
417,But now I was completely grossed out.,1,Overall Satisfaction
418,I really enjoyed eating here.,5,Overall Satisfaction
419,First time going but I think I will quickly become a regular.,6,Ambience and Atmosphere
420,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",9,Service Experience
421,From what my dinner companions told me...everything was very fresh with nice texture and taste.,0,Food Quality
422,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",3,Ambience and Atmosphere
423,"Furthermore, you can't even find hours of operation on the website!",9,Service Experience
